"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  En tant que client API authentifie, je veux mettre a jour entierement une reservation
  afin de modifier toutes ses informations en une seule requete.","785","TC-035 -- PUT avec token invalide (PUT /booking/{id})","","2026-09-17","passed","2026-09-17","","US-005 -- Mise a jour complete (PUT /booking/{id})","TC-035 -- PUT avec token invalide (PUT /booking/{id})",""
"  En tant que client API authentifie, je veux mettre a jour partiellement une reservation
  afin de modifier uniquement les champs necessaires.","785","TC-039 -- PATCH totalprice uniquement (PATCH /booking/{id})","","2026-09-17","passed","2026-09-17","","US-006 -- Mise a jour partielle (PATCH /booking/{id})","TC-039 -- PATCH totalprice uniquement (PATCH /booking/{id})",""
"  En tant que client API, je veux recuperer la liste de toutes les reservations
  afin de consulter les IDs disponibles et filtrer par criteres.","439","TC-006 -- Liste complete sans filtre (GET /booking)","","2026-09-17","passed","2026-09-17","","US-002 -- Lister les reservations (GET /booking)","TC-006 -- Liste complete sans filtre (GET /booking)",""
"  En tant que client API, je veux creer une nouvelle reservation
  afin d'enregistrer un sejour hotelier dans le systeme.","263","TC-023 -- Champ firstname manquant (POST /booking)","","2026-09-17","passed","2026-09-17","","US-004 -- Creer une reservation (POST /booking)","TC-023 -- Champ firstname manquant (POST /booking)",""
"  En tant que client API, je veux creer une nouvelle reservation
  afin d'enregistrer un sejour hotelier dans le systeme.","264","TC-029 -- checkin posterieur a checkout (POST /booking)","","2026-09-17","failed","2026-09-17","","US-004 -- Creer une reservation (POST /booking)","TC-029 -- checkin posterieur a checkout (POST /booking)",""
"  En tant que client API, je veux recuperer le detail d'une reservation par son ID
  afin de consulter ses informations completes.","520","TC-017 -- ID non numerique (GET /booking/abc)","","2026-09-17","passed","2026-09-17","","US-003 -- Recuperer une reservation (GET /booking/{id})","TC-017 -- ID non numerique (GET /booking/abc)",""
"  En tant que client API, je veux recuperer le detail d'une reservation par son ID
  afin de consulter ses informations completes.","525","TC-014 -- Validation schema JSON (GET /booking/{id})","","2026-09-17","passed","2026-09-17","","US-003 -- Recuperer une reservation (GET /booking/{id})","TC-014 -- Validation schema JSON (GET /booking/{id})",""
"  En tant que client API, je veux generer un token d'authentification
  afin d'effectuer des operations securisees sur les reservations.","254","TC-004 -- SQL injection dans username (POST /auth)","","2026-09-17","passed","2026-09-17","","US-001 -- Authentification (POST /auth)","TC-004 -- SQL injection dans username (POST /auth)",""
"  En tant que client API, je veux recuperer la liste de toutes les reservations
  afin de consulter les IDs disponibles et filtrer par criteres.","264","TC-012 -- SQL injection dans filtre firstname (GET /booking)","","2026-09-17","passed","2026-09-17","","US-002 -- Lister les reservations (GET /booking)","TC-012 -- SQL injection dans filtre firstname (GET /booking)",""
"  En tant que client API, je veux generer un token d'authentification
  afin d'effectuer des operations securisees sur les reservations.","1911","TC-001 -- Token valide (POST /auth)","","2026-09-17","passed","2026-09-17","","US-001 -- Authentification (POST /auth)","TC-001 -- Token valide (POST /auth)",""
